,Original_Full_Reference,,,,,,,,,,,,,,,
246,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-37",,,,,,,,,,,,,,,
247,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-38",,,,,,,,,,,,,,,
248,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-39",,,,,,,,,,,,,,,
249,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-40",,,,,,,,,,,,,,,
250,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-41",,,,,,,,,,,,,,,
251,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-42",,,,,,,,,,,,,,,
252,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-43",,,,,,,,,,,,,,,
253,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-44",,,,,,,,,,,,,,,
254,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-45",,,,,,,,,,,,,,,
255,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-46",,,,,,,,,,,,,,,
256,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-47",,,,,,,,,,,,,,,
257,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-48",,,,,,,,,,,,,,,
258,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-49",,,,,,,,,,,,,,,
259,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-50",,,,,,,,,,,,,,,
260,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-51",,,,,,,,,,,,,,,
261,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-52",,,,,,,,,,,,,,,
262,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-53",,,,,,,,,,,,,,,
263,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-54",,,,,,,,,,,,,,,
264,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-55",,,,,,,,,,,,,,,
265,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-56",,,,,,,,,,,,,,,
266,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-57",,,,,,,,,,,,,,,
267,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-58",,,,,,,,,,,,,,,
268,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-59",,,,,,,,,,,,,,,
9,"Scaffidi, B.K., & Knudson, K.J. (2020). An archaeological strontium isoscape for the prehistoric Andes: Understanding population mobility through a geostatistical meta-analysis of archaeological 87Sr/86Sr values from humans, animals, and artifacts. Journal of Archaeological Science, 117, 105121. https://doi.org/10.1016/j.jas.2020.105119",,,,,,,,,,,,,,,
10,"Scaffidi, B.K., & Knudson, K.J. (2020). An archaeological strontium isoscape for the prehistoric Andes: Understanding population mobility through a geostatistical meta-analysis of archaeological 87Sr/86Sr values from humans, animals, and artifacts. Journal of Archaeological Science, 117, 105121. https://doi.org/10.1016/j.jas.2020.105120",,,,,,,,,,,,,,,
6,"Serna, A., Bataille, C.P., Prates, L., Mange, E., le Roux P., & Salazar-García, D.C. (2023). Small-scale mobility fostering the interaction networks of Patagonian (Argentina) hunter-gatherers during the Late Holocene: Perspectives from strontium isotopes and exotic items. PLoS ONE, 18(2), e0281089.",,,,,,,,,,,,,,,
166,"Slovak, N., Paytan, A., Rick, J.W., & Chien, Ch. (2018). Establishing radiogenic strontium isotope signatures for Chavín de Huántar, Peru. Journal of Archaeological Science: Reports, 19, 411-419. https://doi.org/10.1016/j.jasrep.2018.03.014.",,,,,,,,,,,,,,,
153,"Slovak, N.M., & Paytan, A. (2011). Fisherfolk and Farmers: Carbon and Nitrogen Isotope Evidence From Middle Horizon Ancon, Peru. International Journal of Osteoarchaeology, 21, 253–267.",,,,,,,,,,,,,,,
76,"Standen, V.G., Santoro, C.M., Arriaza, B., & Coleman, D. (2017). Hunting, Gathering, and Fishing on the Coast of the Atacama Desert: Chinchorro Population Mobility Patterns Inferred from Strontium Isotopes. Geoarchaeology: An International Journal, 33 (2), 162-176.",,,,,,,,,,,,,,,
77,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101324",,,,,,,,,,,,,,,
78,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101325",,,,,,,,,,,,,,,
79,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101326",,,,,,,,,,,,,,,
80,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101327",,,,,,,,,,,,,,,
81,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101328",,,,,,,,,,,,,,,
82,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101329",,,,,,,,,,,,,,,
83,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101330",,,,,,,,,,,,,,,
84,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101331",,,,,,,,,,,,,,,
85,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101332",,,,,,,,,,,,,,,
86,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101333",,,,,,,,,,,,,,,
87,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101334",,,,,,,,,,,,,,,
88,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101335",,,,,,,,,,,,,,,
89,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101336",,,,,,,,,,,,,,,
90,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101337",,,,,,,,,,,,,,,
91,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101338",,,,,,,,,,,,,,,
92,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101339",,,,,,,,,,,,,,,
93,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101340",,,,,,,,,,,,,,,
94,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101341",,,,,,,,,,,,,,,
95,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101342",,,,,,,,,,,,,,,
96,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101343",,,,,,,,,,,,,,,
97,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101344",,,,,,,,,,,,,,,
98,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101345",,,,,,,,,,,,,,,
99,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101346",,,,,,,,,,,,,,,
100,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101347",,,,,,,,,,,,,,,
101,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101348",,,,,,,,,,,,,,,
102,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101349",,,,,,,,,,,,,,,
103,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101350",,,,,,,,,,,,,,,
104,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101351",,,,,,,,,,,,,,,
105,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101352",,,,,,,,,,,,,,,
106,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101353",,,,,,,,,,,,,,,
107,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101354",,,,,,,,,,,,,,,
108,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101355",,,,,,,,,,,,,,,
109,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101356",,,,,,,,,,,,,,,
110,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101357",,,,,,,,,,,,,,,
111,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101358",,,,,,,,,,,,,,,
112,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101359",,,,,,,,,,,,,,,
113,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101360",,,,,,,,,,,,,,,
114,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101361",,,,,,,,,,,,,,,
115,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101362",,,,,,,,,,,,,,,
116,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101363",,,,,,,,,,,,,,,
117,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101364",,,,,,,,,,,,,,,
118,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101365",,,,,,,,,,,,,,,
119,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101366",,,,,,,,,,,,,,,
120,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101367",,,,,,,,,,,,,,,
121,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101368",,,,,,,,,,,,,,,
122,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101369",,,,,,,,,,,,,,,
123,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101370",,,,,,,,,,,,,,,
124,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101371",,,,,,,,,,,,,,,
125,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101372",,,,,,,,,,,,,,,
126,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101373",,,,,,,,,,,,,,,
127,"Standen, V.G., Santoro, C.M., Arriaza, B., Verano, J.,  Monsalve, S.,  Coleman, D., Valenzuela, D., & Marquet, P.A. (2021) . Violence among the first horticulturists in the atacama desert (1000 BCE – 600 CE). Journal of Anthropological Archaeology, 63, 101374",,,,,,,,,,,,,,,
