Entry;Country;Site_Name;Sample_Id;Biome 1;Biome 2;Region;Valley, locality, closest town, political jurisdiction;Latitude (WGS 84);Longitude (WGS 84);Altitude (masl);Exact_coordinates?;Site location_radius (km);Ref_coordinates;Archaeological_site_description;Archaeological_site_function;Archeological_Culture;Relative_chronology (Period/phase) ;Relative_date_from;Relative_date_to;Age_System_Relative;Absolute_chronology_method;Radiocarbon_Lab_Code;Conventional 14C_date (BP);Error (±1σ);Calibrated/modelled 14C (95%)_from;Calibrated/modelled 14C (95%)_to;Age_System_Absolute;Material_dated;Lab_Id;Type_source;Taxon/local name;Genus/Species;Phostosynthetic_Pathway;Plant_domesticate;Sample_type;wt%C;wt%N;C:N;δ13C;δ15N;δ34S;δ18O;87Sr/86Sr;Other_isotope_or analytical value;Description_ of_ other_isotope_or_analytical_value;Extra_information;Description_of_extra_information;Additional_info_source;Preservation_criteria ;Comments;Original_Reference;Original_Full_Reference;Compilation_Reference;Compilation_Full_Reference;Link_ to_source;Link_to_source_2;;;;;;;;;;;;;;;;;
1611;Chile;Mocha Island P5-1;UB26214;Temperate broadleaf and mixed forests;Rainy zone-Mediterranean macrobioclimate unit;Southern Chile;Mocha Island, Tirúa, Biobío Region;-38.356266;-73.904067;24;Exact;;Roa Solís et al. (2021);Domestic architecture + Funerary contexts;Residence + Funerary;Pitrén;Early Ceramic Period;350;1000;BCE/CE;14C-AMS;UB26214;552;26;1421;;BCE/CE;Seed;UB26214;Terrestrial flora;Maize;Zea mays;C4;Yes;Grain;;;22.2;-10.0;4.9;;;;;;;;Roa Solís, C., Martínez, I., Montalvo-Cabrera, J., Power, X., Rebolledo, S., Colonese, A.C., Bustos, D., Santana-Sagredo, F., & Campbell, R. (2021). Apuntes sobre Comidas y Dietas en Isla Mocha: Integrando Resultados de Recursos Vegetales, Animales, Residuos Orgánicos e Isótopos Estables (Provincia de Arauco, Chile). Boletín de la Sociedad Chilena de Arqueología, Número Especial, 2021, 327-360.;2;; Campbell et al. (2020); Campbell, R., Santana-Sagredoa, F., Munitad, D., Merad, R., Massoned, M., Andrade, P., Sánchez, M., & Márquez, T. (2020). Diet in Southern Chile (36°-42°S). A synthesis from the isotopic data. Quaternary International, 548, 109-123.;;;https://doi.org/10.1016/j.quaint.2020.01.015;https://doi.org/10.1016/j.quaint.2020.01.015;;;;;;;;;;;;;;;;;
1612;Chile;Mocha Island P12-1;UB29283;Temperate broadleaf and mixed forests;Rainy zone-Mediterranean macrobioclimate unit;Southern Chile;Mocha Island, Tirúa, Biobío Region;-38.375341;-73.88845;36;Exact;;Roa Solís et al. (2021);Domestic architecture + Funerary contexts;Residence + Funerary;Pitrén;Early Ceramic Period;350;1000;BCE/CE;14C-AMS;UB29283;453;28;1465;;BCE/CE;Seed;UB29283;Terrestrial flora;Maize;Zea mays;C4;Yes;Grain;;;24.7;-9.6;3.3;;;;;;;;Roa Solís, C., Martínez, I., Montalvo-Cabrera, J., Power, X., Rebolledo, S., Colonese, A.C., Bustos, D., Santana-Sagredo, F., & Campbell, R. (2021). Apuntes sobre Comidas y Dietas en Isla Mocha: Integrando Resultados de Recursos Vegetales, Animales, Residuos Orgánicos e Isótopos Estables (Provincia de Arauco, Chile). Boletín de la Sociedad Chilena de Arqueología, Número Especial, 2021, 327-360.;2;; Campbell et al. (2020); Campbell, R., Santana-Sagredoa, F., Munitad, D., Merad, R., Massoned, M., Andrade, P., Sánchez, M., & Márquez, T. (2020). Diet in Southern Chile (36°-42°S). A synthesis from the isotopic data. Quaternary International, 548, 109-123.;;;https://doi.org/10.1016/j.quaint.2020.01.015;https://doi.org/10.1016/j.quaint.2020.01.015;;;;;;;;;;;;;;;;;
1613;Chile;Playa Miller 7 (PLM-7);Tomb161;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Exact;;Ugalde et al. (2020);;;;Middle Formative Period (Northern Chile);-745;-397;BCE/CE;14C-AMS;PSUAMS9633;2445;20;-745;-397;BCE/CE;;22.1;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;45.8;1.3;41.8;-27.2;1.2;;;;;;;;Ugalde, P. C., Mcrostie, V., Gayo, E. M., García, M., Latorre, C., & Santoro, C. M. (2021). 13,000 years of sociocultural plant use in the Atacama desert of northern Chile. Vegetation History and Archaeobotany, 30, 213–230. doi: 10.1007/s00334-020- 00783-11;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1614;Chile;Azapa 11 (Az-11);hab2sectorE;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.522937;-70.183064;356;Approximate;1;Google Earth;;;;Late Intermediate Period (Northern Chile);1218;1273;BCE/CE;14C-AMS;PSUAMS9635;840;15;1218;1273;BCE/CE;;001;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;37.2;0.3;149.5;-27.7;27.3;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1615;Chile;Azapa 11 (Az-11);hab2sectorE;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.522937;-70.183064;356;Approximate;1;Google Earth;;;;Late Intermediate Period (Northern Chile);1218;1273;BCE/CE;14C-AMS;PSUAMS9635;840;15;1218;1273;BCE/CE;;001;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;25.7;0.6;53.0;-24.6;22.7;;;;;;;;;1;Replicate;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1616;Chile;Azapa 71b (Az-71b);Tomb1;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.518711;-70.172905;296;Approximate;1;Google Earth;;;;Late Intermediate Period (Northern Chile);1272;1380;BCE/CE;14C-AMS;PSUAMS9640;755;15;1272;1380;BCE/CE;;27007;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;50.5;0.9;68.1;-23.9;5.9;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1617;Chile;Azapa 71b (Az-71b);Tomb1;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.518711;-70.172905;296;Approximate;1;Google Earth;;;;Late Intermediate Period (Northern Chile);1272;1380;BCE/CE;14C-AMS;PSUAMS9640;755;15;1272;1380;BCE/CE;;27007;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;43.8;0.8;65.7;-23.2;6.5;;;;;;;;;1;Replicate;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1618;Chile;Azapa 14 (Az-14);Tomb37;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.520743;-70.219859;234;Approximate;1;Google Earth;;;;Late Intermediate Period (Northern Chile);1314;1400;BCE/CE;14C-AMS;PSUAMS9840;650;15;1314;1400;BCE/CE;;27691;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;39.3;2.3;19.7;-25.0;7.5;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1619;Chile;Playa Miller 4 (PLM-4);Tomb101;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Approximate;1;Google Earth;;;;Late Period (Northern Chile);1500;1642;BCE/CE;14C-AMS;PSUAMS9637;355;20;1500;1642;BCE/CE;;41;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;31.1;0.4;98.8;-23.3;26.3;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1620;Chile;Playa Miller 4 (PLM-4);Tomb101;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Approximate;1;Google Earth;;;;Late Period (Northern Chile);1500;1642;BCE/CE;14C-AMS;PSUAMS9637;355;20;1500;1642;BCE/CE;;41;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;32.0;0.9;42.1;-21.8;22.7;;;;;;;;;1;Replicate;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1621;Chile;Azapa 15 (Az-15);Tomb96;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.545111;-70.1543;360;Approximate;1;Google Earth;;;;Late Period (Northern Chile);1506;1641;BCE/CE;14C-AMS;PSUAMS9615;345;15;1506;1641;BCE/CE;;5111;Terrestrial flora;Achira;Canna edulis;C3;Yes;Seeds;44.4;1.5;34.7;-25.4;13.4;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1622;Chile;Playa Miller 4 (PLM-4);Tomb136;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Approximate;1;Google Earth;;;;Late Period (Northern Chile);1508;1659;BCE/CE;14C-AMS;PSUAMS9638;315;20;1508;1659;BCE/CE;;136.1;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;30.3;0.4;92.1;-23.7;26.0;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1623;Chile;Playa Miller 4 (PLM-4);Tomb124;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Approximate;1;Google Earth;;;;Late Period (Northern Chile);1507;1649;BCE/CE;14C-AMS;PSUAMS9639;330;20;1507;1649;BCE/CE;;124.6;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;35.1;0.2;179.9;-25.8;15.1;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1624;Chile;Playa Miller 4 (PLM-4);Tomb124;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Approximate;1;Google Earth;;;;Late Period (Northern Chile);1507;1649;BCE/CE;14C-AMS;PSUAMS9639;330;20;1507;1649;BCE/CE;;124.6;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;47.8;0.8;71.9;-26.7;7.7;;;;;;;;;1;Replicate;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1625;Chile;Playa Miller 4 (PLM-4);Tomb134–135;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Approximate;1;Google Earth;;;;Late Period (Northern Chile);1510;1663;BCE/CE;14C-AMS;PSUAMS9636;310;20;1510;1663;BCE/CE;;134.2;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;27.0;0.4;71.5;-24.3;27.6;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1626;Chile;Playa Miller 4 (PLM-4);Tomb134–135;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Approximate;1;Google Earth;;;;Late Period (Northern Chile);1510;1663;BCE/CE;14C-AMS;PSUAMS9636;310;20;1510;1663;BCE/CE;;134.2;Terrestrial flora;Achira;Canna edulis;C3;Yes;Rhizome;36.6;0.5;93.3;-25.6;28.8;;;;;;;;;1;Replicate;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1627;Chile;Playa Miller 7 (PLM-7);;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Exact;;Ugalde et al. (2020);Domestic architecture + Funerary contexts;;;Middle Formative Period (Northern Chile);-729;-392;BCE/CE;14C-AMS;PSUAMS9629;2425;20;-729;-392;BCE/CE;;43502;Terrestrial flora;Ahipa;Pachyrhizus sp.;C3;Yes;Tuber;47.4;0.8;69.6;-27.3;2.6;;;;;;;;Ugalde, P. C., Mcrostie, V., Gayo, E. M., García, M., Latorre, C., & Santoro, C. M. (2021). 13,000 years of sociocultural plant use in the Atacama desert of northern Chile. Vegetation History and Archaeobotany, 30, 213–230. doi: 10.1007/s00334-020- 00783-11;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1628;Chile;Playa Miller 7 (PLM-7);;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Exact;;Ugalde et al. (2020);Domestic architecture + Funerary contexts;;;Middle Formative Period (Northern Chile);-159;-53;BCE/CE;14C-AMS;PSUAMS9627;2130;20;-159;-53;BCE/CE;;457;Terrestrial flora;Ahipa;Pachyrhizus sp.;C3;Yes;Tuber;42.1;2.6;18.7;-26.6;7.3;;;;;;;;Ugalde, P. C., Mcrostie, V., Gayo, E. M., García, M., Latorre, C., & Santoro, C. M. (2021). 13,000 years of sociocultural plant use in the Atacama desert of northern Chile. Vegetation History and Archaeobotany, 30, 213–230. doi: 10.1007/s00334-020- 00783-11;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1629;Chile;Playa Miller 7 (PLM-7);Tomb68;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Exact;;Ugalde et al. (2020);Domestic architecture + Funerary contexts;;;Middle Formative Period (Northern Chile);-141;18;BCE/CE;14C-AMS;PSUAMS9628;2100;20;-141;18;BCE/CE;;43501;Terrestrial flora;Ahipa;Pachyrhizus sp.;C3;Yes;Tuber;46.8;2.2;24.9;-27.6;6.5;;;;;;;;Ugalde, P. C., Mcrostie, V., Gayo, E. M., García, M., Latorre, C., & Santoro, C. M. (2021). 13,000 years of sociocultural plant use in the Atacama desert of northern Chile. Vegetation History and Archaeobotany, 30, 213–230. doi: 10.1007/s00334-020- 00783-11;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1630;Chile;Azapa 6 (Az-6);Tomb120;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.5222;-70.1543;360;Approximate;1;Google Earth;;;;Late Intermediate Period (Northern Chile);1054;1222;BCE/CE;14C-AMS;PSUAMS9630;915;20;1054;1222;BCE/CE;;12497.1;Terrestrial flora;Ahipa;Pachyrhizus sp.;C3;Yes;Tuber;47.0;1.8;30.7;-24.6;9.9;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1631;Chile;Playa Miller 4 (PLM-4);Tomb110;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Approximate;1;Google Earth;;;;Late Intermediate Period (Northern Chile);1406;1441;BCE/CE;14C-AMS;PSUAMS9632;550;15;1406;1441;BCE/CE;;21;Terrestrial flora;Ahipa;Pachyrhizus sp.;C3;Yes;Tuber;42.0;2.4;20.3;-25.6;19.6;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1632;Chile;Azapa 71b (Az-71b);Tomb1;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.518711;-70.172905;296;Approximate;1;Google Earth;;;;Late Period (Northern Chile);1455;1619;BCE/CE;14C-AMS;PSUAMS9754;415;15;1455;1619;BCE/CE;;27006;Terrestrial flora;Ahipa;Pachyrhizus sp.;C3;Yes;Tuber;40.3;0.7;65.9;-26.5;4.3;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1633;Chile;Azapa 15 (Az-15);;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.545111;-70.1543;360;Approximate;1;Google Earth;;;;Late Period (Northern Chile);1508;1648;BCE/CE;14C-AMS;PSUAMS9625;330;15;1508;1648;BCE/CE;;54.1;Terrestrial flora;Ahipa;Pachyrhizus sp.;C3;Yes;Tuber;42.6;2.9;17.2;-28.0;6.3;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1634;Chile;Azapa 15 (Az-15);Tomb16;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.545111;-70.1543;360;Approximate;1;Google Earth;;;;Late Period (Northern Chile);1508;1648;BCE/CE;14C-AMS;PSUAMS9626;330;15;1508;1648;BCE/CE;;21840;Terrestrial flora;Ahipa;Pachyrhizus sp.;C3;Yes;Tuber;47.0;2.0;28.0;-25.0;4.4;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1635;Chile;Playa Miller 7 (PLM-7);Tomb9;Desert and xeric shrublands;Atacama Desert-Littoral;North Coast of Chile;Arica Coast, Arica and Parinacota Region;-18.491944;-70.324746;48;Exact;;Ugalde et al. (2020);Domestic architecture + Funerary contexts;;;Middle Formative Period (Northern Chile);-93;27;BCE/CE;14C-AMS;PSUAMS6123;2065;20;-93;27;BCE/CE;;751;Terrestrial flora;Cassava;Manihot esculenta ;C3;Yes;Root;42.7;0.5;106.5;-25.6;23.7;;;;;;;;Ugalde, P. C., Mcrostie, V., Gayo, E. M., García, M., Latorre, C., & Santoro, C. M. (2021). 13,000 years of sociocultural plant use in the Atacama desert of northern Chile. Vegetation History and Archaeobotany, 30, 213–230. doi: 10.1007/s00334-020- 00783-11;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1636;Chile;Azapa 6 (Az-6);Tomb103;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.5222;-70.1543;360;Approximate;1;Google Earth;;;;Late Intermediate Period (Northern Chile);1220;1274;BCE/CE;14C-AMS;PSUAMS6122;835;15;1220;1274;BCE/CE;;99.2;Terrestrial flora;Cassava;Manihot esculenta ;C3;Yes;Root;67.8;4.2;18.7;-25.6;6.2;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
1637;Chile;Azapa 6 (Az-6);Tomb61;Desert and xeric shrublands;Atacama Desert-Transversal valley;North Coast of Chile;San Miguel de Azapa, Lower Azapa Valley, Arica and Parinacota Region;-18.5222;-70.1543;360;Approximate;1;Google Earth;;;;Late Intermediate Period (Northern Chile);1073;1223;BCE/CE;14C-AMS;PSUAMS9618;910;20;1073;1223;BCE/CE;;74;Terrestrial flora;Sweet potato;Ipomoea batatas;C3;Yes;Tuber;46.2;2.2;24.2;-25.1;31.0;;;;;;;;;1;;Capriles et al. (2022);Capriles, J.M., García, M., Valenzuela, D., Domic, A.I., Kistler, L., Rothhammer, F., & Santoro, C.M. (2022). Pre-Columbian cultivation of vegetatively propagated and fruit tree tropical crops in the Atacama Desert. Frontiers in Ecology and Evolution, 10, 993630.;;;https://doi.org/10.3389/fevo.2022.993630;https://doi.org/10.3389/fevo.2022.993630;;;;;;;;;;;;;;;;;
